last_cycle,start_datetime,version,crate_1,crate_2,soc_switch,rest_time_s,cccv_rate,formation_cycle_rate,cathode,anode,manufacturer,chamber_temperature_c,nominal_capacity_ah,nominal_voltage_v,upper_voltage_cuttoff_v,lower_voltage_cuttoff_v,drate,provider,cell_id,cell_type,batch_number,repository_url
496,2017-07-01T03:54:40+00:00,2020.10.19.20-8667111,9.0,9.0,27.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000022_CH24_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
704,2017-05-13T03:22:40+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000023_CH37_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
648,2017-05-13T03:22:40+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000023_CH38_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
480,2017-07-01T04:05:20+00:00,2020.10.19.20-8667111,6.0,6.0,40.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000024_CH45_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
1074,2017-05-13T03:14:08+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000025_CH7_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
209,2017-07-01T03:46:08+00:00,2020.10.19.20-8667111,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000026_CH5_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
483,2017-07-01T03:46:08+00:00,2020.10.19.20-8667111,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000026_CH6_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
508,2017-07-01T03:58:56+00:00,2020.8.21-6702566,2.0,2.0,10.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000027_CH31_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
878,2017-05-13T03:18:24+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000028_CH19_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
1054,2017-05-13T03:18:24+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000028_CH20_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
636,2017-05-13T03:14:08+00:00,2020.8.21-6702566,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000029_CH10_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
870,2017-05-13T03:14:08+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000029_CH9_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
510,2017-07-01T03:56:48+00:00,2020.8.21-6702566,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000030_CH30_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
327,2017-07-01T03:48:16+00:00,2020.10.19.20-8667111,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000031_CH9_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
541,2017-07-01T03:54:40+00:00,2020.10.19.20-8667111,65.0,65.0,44.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000032_CH22_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
508,2017-07-01T03:52:32+00:00,2020.10.19.20-8667111,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000033_CH14_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
506,2017-07-01T03:56:48+00:00,2020.8.21-6702566,4.0,4.0,13.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000034_CH27_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
362,2017-07-01T03:50:24+00:00,2020.10.19.20-8667111,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000035_CH12_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
746,2017-07-01T04:05:20+00:00,2020.10.19.20-8667111,6.0,6.0,60.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000036_CH48_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
901,2017-05-13T03:18:24+00:00,2020.8.21-6702566,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000037_CH21_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
896,2017-05-13T03:18:24+00:00,2020.8.21-6702566,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000037_CH22_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
472,2017-07-01T03:50:24+00:00,2020.10.19.20-8667111,6.0,6.0,22.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000038_CH13_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
860,2017-05-13T03:20:32+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000039_CH27_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
917,2017-05-13T03:20:32+00:00,2020.6.2-1674d80,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000039_CH28_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
520,2017-07-01T03:58:56+00:00,2020.10.19.20-8667111,2.0,2.0,37.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000040_CH32_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
171,2017-07-01T03:48:16+00:00,2020.10.19.20-8667111,2.0,2.0,10.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000041_CH10_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
487,2017-07-01T04:01:04+00:00,2020.6.2-1674d80,2.0,2.0,71.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000042_CH36_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
597,2017-07-01T03:52:32+00:00,2020.10.19.20-8667111,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000043_CH16_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
534,2017-05-13T03:14:08+00:00,2020.6.2-1674d80,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000044_CH11_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
559,2017-05-13T03:14:08+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000044_CH12_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
1189,2017-05-13T03:14:08+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000045_CH1_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
1178,2017-05-13T03:14:08+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000045_CH2_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
1176,2017-05-13T03:14:08+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000045_CH3_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
890,2017-05-13T03:20:32+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000046_CH31_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
1014,2017-05-13T03:20:32+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000046_CH32_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
521,2017-07-01T03:54:40+00:00,2020.10.19.20-8667111,65.0,65.0,19.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000047_CH21_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
966,2017-05-13T03:24:48+00:00,2020.8.21-6702566,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000048_CH43_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
1051,2017-05-13T03:24:48+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000048_CH44_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
561,2017-07-01T04:01:04+00:00,2020.8.21-6702566,6.0,6.0,25.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000049_CH37_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
1002,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,9.0,9.0,60.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000050_CH32_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
731,2018-04-13T01:27:28+00:00,2020.10.19.20-8667111,9.0,9.0,60.0,5,0.05,,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000050_CH40_structure,Cylindrical,3,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bd64fa2ede00015ddbb3
880,2017-05-13T03:16:16+00:00,2020.8.21-6702566,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000051_CH15_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
719,2017-05-13T03:16:16+00:00,2020.8.21-6702566,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000051_CH16_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
531,2017-07-01T04:03:12+00:00,2020.10.19.20-8667111,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000052_CH41_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
453,2017-07-01T04:03:12+00:00,2020.10.19.20-8667111,6.0,6.0,65.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000053_CH42_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
546,2017-07-01T03:52:32+00:00,2020.8.21-6702566,6.0,6.0,30.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000054_CH15_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
532,2017-07-01T03:54:40+00:00,2020.10.19.20-8667111,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000055_CH20_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
465,2017-07-01T03:50:24+00:00,2020.10.19.20-8667111,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000056_CH11_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
709,2017-05-13T03:22:40+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000057_CH35_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
876,2017-05-13T03:22:40+00:00,2020.8.21-6702566,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000057_CH36_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
702,2017-05-13T03:24:48+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000058_CH45_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
651,2017-05-13T03:24:48+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000058_CH46_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
545,2017-07-01T03:58:56+00:00,2020.10.19.20-8667111,2.0,2.0,50.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000059_CH33_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
521,2017-07-01T03:56:48+00:00,2020.10.19.20-8667111,4.0,4.0,40.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000060_CH29_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
493,2017-07-01T04:03:12+00:00,2020.8.21-6702566,6.0,6.0,20.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000061_CH43_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
450,2017-07-01T04:05:20+00:00,2020.10.19.20-8667111,6.0,6.0,52.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000062_CH47_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
1226,2017-05-13T03:14:08+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000063_CH5_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
1226,2017-05-13T03:14:08+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000063_CH6_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
488,2017-07-01T04:03:12+00:00,2020.8.21-6702566,6.0,6.0,47.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000064_CH39_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
870,2017-05-13T03:20:32+00:00,2020.6.2-1674d80,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000065_CH33_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
842,2017-05-13T03:20:32+00:00,2020.8.21-6702566,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000065_CH34_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
1017,2017-05-13T03:18:24+00:00,2020.8.21-6702566,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000066_CH25_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
854,2017-05-13T03:18:24+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000066_CH26_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
617,2017-05-13T03:24:48+00:00,2020.10.19.20-8667111,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000067_CH41_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
625,2017-05-13T03:24:48+00:00,2020.8.21-6702566,,,,61,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000067_CH42_structure,Cylindrical,1,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86c0b5fa2ede00015ddf67
503,2017-07-01T04:01:04+00:00,2020.10.19.20-8667111,6.0,6.0,38.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000068_CH38_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
542,2017-07-01T03:54:40+00:00,2020.8.21-6702566,9.0,9.0,61.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000069_CH25_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
515,2017-07-01T04:05:20+00:00,2020.8.21-6702566,,,,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000070_CH46_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
481,2017-07-01T04:03:12+00:00,2020.10.19.20-8667111,6.0,6.0,58.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000071_CH40_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
547,2017-07-01T03:58:56+00:00,2020.10.19.20-8667111,2.0,2.0,58.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000072_CH34_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
527,2017-07-01T03:58:56+00:00,2020.10.19.20-8667111,2.0,2.0,66.0,300,0.02,0.1,LFP,Graphite,A123 Systems (APR18650M1A),30,1.1,3.3,3.6,2.0,4,Toyota Research Institute,FastCharge_000073_CH35_structure,Cylindrical,2,https://data.matr.io/1/projects/5c48dd2bc625d700019f3204/batches/5c86bf14fa2ede00015ddd83
